Brand name	Markenname
Energy consumption in kWh per year, based on the power consumption of the television operating 4 hours per day for 365 days.	Jahresenergieverbrauch in kWh/Jahr auf der Grundlage eines täglichen vierstündigen Betriebs des Fernsehgeräts an 365 Tagen.
The actual energy consumption will depend on how the television is used	Der tatsächliche Energieverbrauch hängt von der Art der Nutzung des Fernsehgeräts ab.
Energy consumption of the standard 60°C cotton program at full load	Energieverbrauch des Standardprogramms „Baumwolle 60°C“ bei vollständiger Befüllung
Colour temperature	Farbtemperatur
Power consumption in left on mode	Leistungsaufnahme im unausgeschalteten Zustand
Star rating freezer	Sternekennzeichnung Kühlschrank
Lighting Efficiency	Beleuchtungseffizienz
Number of switching cycles	Anzahl der Schaltzyklen
Heat source per cavity	Anzahl der Wärmequellen pro Garraum
Power consumption stand by	Leistungsaufnahme im Bereitschaftszustand
Energy consumption of the standard 60°C cotton program at half load	Energieverbrauch des Standardprogramms „Baumwolle 60°C“ bei Teilbefüllung
Refrigerator capacity	Nutzinhalt des Kühlgeräts
Lighting Efficiency class	Energieeffizienzklasse der Beleuchtung
Volume of each cavity	Volumen jedes Garraums
Power consumption off mode	Leistungsaufnahme im Aus-Zustand
Energy consumption of the standard 40°C cotton program a half load	Energieverbrauch des Standardprogramms „Baumwolle 40°C“ bei Teilbefüllung
Warm-up time to 60% of the full light output	Anlaufzeit bis zur Erreichung von 60% des vollen Lichtstroms
Water consumption in litres per year, based on 280 standard cleaning cycles.	Jahreswasserverbrauch in Liter/Jahr (berechnet für den Standardreinigungszyklus bei 280 Standardreinigungszyklen).
Actual water consumption will depend on how the appliance is used	Der tatsächliche Wasserverbrauch hängt von der Art der Nutzung des Geräts ab.
Temperature of special compartment	Temperatur im Spezialfach
Grease Filtering Efficiency	Fettabscheideeffizienz
Screen resolution in physical horizontal and vertical pixel count	Bildauflösung in Anzahl Pixel horizontal und vertikal
Power consumption in Off-mode	Leistungsaufnahme im Aus-Zustand
Dimmable	Dimmbar
Drying efficiency class on a scale from G (less efficient) to A ( most efficient)	Trocknungseffizienzklasse, Skala reicht von a (höchste Effizienz) bis G (geringste Effizienz)
Frost free system	No-Frost-System
Grease Filtering Efficiency class	Fettabscheideeffizienzklasse
Power consumption in left-on mode	Leistungsaufnahme im unausgeschalteten Zustand
Use in non-standard conditions	Betrieb bei Nicht-Normbedingungen
The standard cleaning cycle to which the information in the label and the fiche relates, that this programme is suitable to clean normally soiled tableware, and that it is the most efficient programme in terms of combined energy and water consumption;	Der Standardreinigungszyklus, auf den sich die Informationen auf dem Etikett und dem Informationsblatt beziehen, besagt, dass dieses Programm sich für die normale Reinigung verschmutzten Geschirrs eignet. Es ist das effizienteste Programm in Bezug auf den kombinierten Energie- und Wasserverbrauch.
Temperature rise time	Temperaturanstiegszeit
Air flow at minimum speed in normal use	Luftzufuhr bei minimaler verfügbarer Geschwindigkeit im Normalbetrieb
Water consumption in litres per year, based on 220 standard washing cycles for cotton programmes at 60°C and 40°C at full and partial load.	Gewichteter Jahreswasserverbrauch in Liter/Jahr auf der Grundlage von 220 Standard-Waschzyklen; Berechnung anhand des Verbrauchs der Standardprogramme „Baumwolle 60°C“ und „Baumwolle 40°C“ bei vollständiger und Teilbefüllung.
Actual water consumption will depend on how the appliance is used.	Der tatsächliche Energieverbrauch hängt von der Art der Nutzung des Geräts ab.
Lamp dimensions	Lampenmaße
Cycle time for the standard program	Zeitdauer des Standardreinigungszyklus
Freezing capacity (kg/24h)	Nutzinhalt Gefrierteil (kg/24 Std.)
Air flow at maximum speed in normal use	Luftzufuhr bei maximaler verfügbarer Geschwindigkeit im Normalbetrieb
Spin-drying efficiency class on a scale from G (least efficient) to A (most efficient)	Schleudereffizienzklasse, Skala reicht von A (höchste Effizienz) bis G (geringste Effizienz)
Nominal beam angle	Nennwert für den Beleuchtungswinkel
Climate class	Klimaklasse
Air flow at intensive or boost setting	Luftzufuhr bei Intensiv- oder Booster-Funktion
Lamp mercury content	Quecksilbergehalt der Leuchtmittel
Suitable for accent lighting	Für Akzentbeleuchtung geeignet
Noise level (dB (A) re 1 pW)	Luftschallemission (dB (A) bezogen auf 1 pW)
This appliance is intended to be used at an ambient temperature between	Dieses Gerät ist für die Verwendung bei einer durchschnittlichen Umgebungstemperatur zwischen XX geeignet.
Air flow at boost setting	Luftzufuhr bei Booster-Funktion
Website to consult in case of accidental lamp breakage	Internetseite, die bei versehentlichem Zerbrechen des Leuchtmittels zurate gezogen werden sollte
Standard 60 °C cotton programme’ and the ‘standard 40 °C cotton programme’ are the standard washing programmes to which the information in the label and the fiche relates,	Die Informationen auf dem Etikett und dem Informationsblatt beziehen sich auf die Standardprogramme  „Baumwolle 60°C‟ und  „Baumwolle 40°C‟. Diese Programme sind für die Wäsche von normalverschmutzten Baumwolltextilien geeignet. Es sind die effizientesten Programme in Bezug auf den kombinierten Energie- und Wasserverbrauch.
Drawing of lamp dimensions	Zeichnung der Lampenmaße
Noice level (dB (A) re 1 pW)	Luftschallemission (dB (A) bezogen auf 1 pW)
Airborne acoustical A-weighted sound power emissions  at minimum speed available in normal use	A-bewertete Luftschallemissionen im Normalbetrieb bei minimaler verfügbarer Geschwindigkeit
Rated wattage	Bemessungsleistungsaufnahme
Average washing time of the ‘standard 60 °C cotton programme’ at full load	Durchschnittliche Waschzeit bei Standardprogramm „Baumwolle 60°C“ bei vollständiger Befüllung
Mercury content	Quecksilbergehalt
Airborne acoustical A-weighted sound power emissions at maximum speed available in normal use	A-bewertete Luftschallemissionen im Normalbetrieb bei maximaler verfügbarer Geschwindigkeit
Average washing time of the ‘standard 60 °C cotton programme’ at  partial load	Durchschnittliche Waschzeit bei Standardprogramm „Baumwolle 60°C“ bei Teilbefüllung
Airborne acoustical A-weighted sound power emissions at intensive or boost setting	A-bewertete Luftschallemissionen bei Intensiv- oder Booster-Einstellung
Average washing time standard 40 °C cotton programme’ at partial load	Durchschnittliche Waschzeit bei Standardprogramm „Baumwolle 40°C“ bei Teilbefüllung
Top air outlet	Lüftungsöffnung auf der Oberseite
Warm keeping	Warmhaltefunktion
Number of cutlery basket	Anzahl der Besteckkörbe
FRZ Wire or glass shelves in freezer	GEF Gitterrost oder Glasböden im Gefrierteil
Active load balancing	Aktiver Beladungsausgleich
Back air outlet	Lüftungsöffnung auf der Rückseite
Steam function	Dampffunktion
Accessory	Zubehör
FRZ Number of Freezer drawer	GEF Anzahl der Gefrierschubladen
FRZ Freezer blocks	GEF Kühlelemente
Foam sensor	Schaumsensor
Max width for installation	Max. Breite für die Installation
Light only	Nur Beleuchtung
Sliding hinge included	Schiebetürscharnier inklusive
FRZ Ice scraper included	GEF Eisschaber inklusive
Anti-fingerprint	Anti-Fingerprint-Beschichtung
Water stop system	Mehrfachwasserschutz-System
Max depth for installation	Max. Tiefe für die Installation
Washing capacity	Füllmenge (Waschen)
FRZ Ice trays included	GEF Eiswürfelbehälter inklusive
Scraper	Schaber
Floating switch	Füllstandsunterbrecher
Total height (min) extraction rate	Gesamthöhe (min.) Abzugsleistung
Connection rating	Anschlussleistung
Number of egg trays included	Anzahl der enthaltenen Eierfächer
Voltage	Spannung
Total height (min) recirculation mode	Gesamthöhe (min.) Umluftbetrieb
Fuse needed	Kleinste erforderliche Sicherung
G20 (Natural gas)	G20 (Naturgas)
Total height (max) extraction rate	Gesamthöhe (max.) Abzugsleistung
Electrical installation	Elektroinstallation
Overflow protection	Überlaufschutz
G25 (Natural gas mixed with propane)	G25 (Naturgas gemischt mit Propan)
Total height (max) recirculation mode	Gesamthöhe (max.) Umluftbetrieb
G30/G31 (Propane/Butane)	G30/G31 (Propan/Butan)
Plug included	Anschlussstecker inklusive
Adjustable front feet	Verstellbare Vorderbeine
Length of supply cable	Länge des Anschlusskabels
G110 (City/Town gas)	G110 (Stadtgas)
Adjustable rear feet	Verstellbare Hinterbeine
Length of drainage hose	Länge des Ablaufschlauches
G120 (City/Town gas)	G120 (Stadtgas)
Front wheels	Vorderräder
Length of water connection hose	Länge des Wasseranschlussschlauches
G2.350 (Poland)	G2.350 (Polen)
Rear wheels	Hinterräder
Feet in back	Beine an der Rückseite
G27 (Poland)	G27 (Polen)
Required height for installation	Erforderliche Höhe für die Installation
Feet in front	Beine an der Vorderseite
G25.1 (Hungary)	G25.1 (Ungarn)
Required width for installation	Erforderliche Breite für die Installation
Gas category	Gaskategorie
Plumber needed for installation	Muss von einem fachkundigen Installateur installiert werden.
Required depth for installation	Erforderliche Tiefe für die Installation
Net volume Refr	Nutzinhalt Kühlschrank
Net volume Frz	Nutzinhalt Gefrierschrank
Anti-tilting device	Anti-Kippvorrichtung
To be installed by authorized installer	Muss von einem fachkundigen Installateur angeschlossen werden.
Cut out radius	Ausschnittdurchmesser
Flush installation possible	Für bündigen Einbau geeignet.
Control type	Kontrolltyp
Type of air extraction	Abzugsart
Type of installation	Installationstyp
Air outlet position	Luftauslassposition
Electrical installation required by authorized technician	Installation nur durch Elektrofachleute.
HDTV receiver	HDTV-Empfänger
Spin-drying efficiency class	Schleudereffizienzklasse
Far left burner	Äußerer linker Brenner
Right rear power	Leistung, hinten rechts
Pyrolytic cleaning	Pyrolytische Reinigung
Forced air	Heißluft
Main Functions	Hauptfunktionen
Support for MPEG-4 TV broadcast	MPEG-4-Sendungen werden unterstützt.
Noise level washing, standard 60°C cotton programme at full load	Geräuschemissionen während des Waschvorgangs beim Standardprogramm „Baumwolle 60°C“ bei vollständiger Befüllung
Right front burner	Vorderer rechter Brenner
…incl boost (right rear)	... inkl. Booster (hinten rechts)
Drop down grill for easy cleaning	Herunterklappbares Grillelement für leichtes Reinigen
Quick Heat	Schnellerhitzung
HDMI System control	HDMI-Systemregler
Noise level spinning, standard 60°C cotton programme at full load	Geräuschemissionen während des Schleudervorgangs beim Standardprogramm „Baumwolle 60°C“ bei vollständiger Befüllung
Left front burner	Vorderer linker Brenner
Right front power	Leistung, vorn rechts
Number of cooking levels in the cavity	Anzahl der Garebenen im Garraum
RDS functions	RDS-Funktionen
Spin speed/remaining moisture content, standard 60°C cotton programme at full load	Schleuderwirkung beim Standardprogramm „Baumwolle 60°C‟ bei vollständiger Befüllung, das heißt nach dem Schleudervorgang verbleibende Restfeuchte
Right rear burner	Hinterer rechter Brenner
Display	Anzeige
…incl boost (right front)	... inkl. Booster (vorne rechts)
Light source type	Leuchtmitteltyp
Grill + fan	Grill + Gebläse
Standby power consumption	Leistungsaufnahme im Bereitschaftszustand
Left rear burner	Hinterer linker Brenner
Control interface	Steuerschnittstelle
Left rear diameter	Hinterer linker Durchmesser
Light source power	Lampenleistung
Dual Grill + Fan	Doppelgrillzone + Gebläse
Component video in	Component Video in
Auto standby	Bereitschaftszustand
Installation requires authorised installer	Muss von einem fachkundigen Installateur angeschlossen werden.
Right rear diameter	Hinterer rechter Durchmesser
REF Light source type	KÜH Leuchtmitteltyp
Light source socket	Lampenfassung
Dual Grill	Doppelgrillzone
CVBS (video in)+stereo	CVBS (Video in) + Stereo
Supplied with plug	Inklusive Anschlussstecker
Right front diameter	Vorderer rechter Durchmesser
REF Light source power	KÜH Lampenleistung
Number of light sources per appliance	Anzahl der Lichtquellen pro Gerät
Grill with turnspit	Grill mit Drehspieß
Supplied with cable	Inklusive Kabel
Left front diameter	Vorderer linker Durchmesser
REF Light source socket	KÜH Lampenfassung
Weight per light source	Gewicht/Leuchtmittel
Fan defrost	Gebläse (auftauen)
AUX in L/R cinch	AUX in L/R Cinch
Headphone	Kopfhörer
Intensive temporary run	Kurz-Intensiv-Programm
REF Number of light sources per appliance	KÜH Anzahl der Lichtquellen pro Gerät
Brand on the light source	Marke auf dem Leuchtmittel
Pastry function	Gebäckfunktion
Front audio in, 3,5 mm	Front Audio in, 3,5 mm
Digital audio out (SPDIF)	Digital Audio out (SPDIF)
Filter change indicator	Filterwechselanzeige
Min worktop thickness	Min. Arbeitsplattenstärke
Possibility to connect hot water	Heißwasseranschluss möglich
REF Weight per light source	KÜH Gewicht/Leuchtmittel
Mercury amount	Quecksilbergehalt
Bread and pizza baking	Brot-/Pizzabacken
FM antenna 75 ohm	FM-Antenne 75 Ohm
Max worktop thickness	Max. Arbeitsplattenstärke
Number of speeds	Anzahl der Geschwindigkeiten
Number of functions	Anzahl der Funktionen
REF Brand on the light source	KÜH Marke auf dem Leuchtmittel
Battery	Batterie
HDMI version	HDMI-Version
Dimming light	Dimmbares Licht
Spin selection	Schleuderprogramm
Min worktop thickness when installed above an oven	Min. Arbeitsplattenstärke bei Montage über einem Backofen
REF Mercury amount	KÜH Quecksilbergehalt
Meat / Viandes	Fleisch
Dolby digital	Dolby Digital
Audio return channel (ARC)	Audio return channel (ARC (Audio-Rückkanal))
Options	Optionen
Motor power	Motorleistung
REF Light position	KÜH Leuchtmittelposition
Size of oven	Größe des Backofens
Pure steam function	Dampfgarfunktion
Codec support	Codec-Unterstützung
CEC compatible	CEC-kompatibel
Extra rinse	Extraspülen
REF Lamp specification	KÜH Leuchtmittelangaben
Top lid	Deckel
Number of dish programs	Anzahl der Spülprogramme
Bluetooth, auto pairing	Bluetooth, automatisches Koppeln
USB Version	USB-Version
REF Fast Cooling/Shopping function switch	KÜH Schnellkühlen
Start/pause	Start/Pause
Removable pot support	Abnehmbarer Topfhalter
Quick 60ºC, 30 min	Schnellspülen 60ºC, 30 Min.
Top and bottom heating (second cavity)	Ober-/Unterhitze (Garraum 2)
Bluetooth Auto A2DP connect	Bluetooth Auto A2DP Connect
USB Ports	USB-Anschlüsse
REF Vacation Mode	KÜH Urlaubsmodus
Delayed start	Startzeitvorwahl
Top heating (second cavity)	Oberhitze (Garraum 2)
Bluetooth ID3 tag display	Bluetooth ID3 Tag Display
REF Door alarm	KÜH Ein Signal ertönt, wenn die Tür nicht fest geschlossen ist.
Energy class	Energieeffizienzklasse
Display type	Bildtyp
Automatic programmme: 45°C-70°C	Automatisches Programmm: 45°C-70°C
Number of programs	Anzahl der Programme
Bottom heating (second cavity)	Unterhitze (Garraum 2)
Bluetooth player control	Bluetooth Player Control
REF Temperature alarm (acoustic)	KÜH Temperatur-Warnsignal (akustisch)
Cut out width	Ausschnittbreite
Usable volume	Nutzbares Volumen
Motion index	Motion Index
Intensive, 70°C	Intensiv 70°C
On/Off	Ein/Aus
Grill (second cavity)	Grill (Garraum 2)
REF Door - Self closing device	KÜH Tür schließt selbsttätig
Cut out depth	Ausschnitttiefe
Number of burners / zones	Anzahl der Brenner/Zonen
Dynamic contrast	Dynamischer Kontrast
Rinse program	Spülprogramm
Cotton 90	Baumwolle 90
Dual Grill (second cavity)	Doppelgrillzone (Garraum 2)
Supported signal versions	Unterstützte Signale
FRZ Light source type	GEF Leuchtmitteltyp
Sanitation programme, 70°C	Hygieneprogramm 70°C
Cotton 60 economy	Baumwolle 60 Öko
Grill + fan (second cavity)	Grill + Gebläse (Garraum 2)
Number of charcoal filters needed for recirculation	Anzahl der benötigten Kohlefilter für Umluftbetrieb
3D TV	3-D-Fernsehen
FRZ Light source power	GEF Lampenleistung
Wine glass programme: 45°C	Glasprogramm: 45°C
Cotton 60	Baumwolle 60
Charcoal filter(s) included	Kohlefilter inklusive
2D>3D conversion	Umwandlung von 2-D zu 3-D
FRZ Light source socket	GEF Lampenfassung
Multitab function	Multitabfunktion
Cotton 40 economy	Baumwolle 40 Öko
Charcoal filter	Kohlefilter
Bypacked 3D glasses	Beigepackte 3-D-Brillen
FRZ Number of light sources per appliance	GEF Anzahl der Lichtquellen pro Gerät
Energy saver	Energiesparoption
Cotton 40	Baumwolle 40
Half load option	Miniprogramm
Diameter of the air outlet	Durchmesser der Lüftungsöffnung
Picture files	Bild-Dateien
Middle burner	Mittlerer Brenner
FRZ Weight per light source	GEF Gewicht/Leuchtmittel
Cotton 30	Baumwolle 30
Rinse aid indication	Klarspülanzeige
Cold air flow protection	Kaltluftabschirmung
Audio files	Audio-Dateien
FRZ Brand on the light source	GEF Marke auf dem Leuchtmittel
Cotton cold	Kaltwäsche
Electric salt indication	Elektrische Salzanzeige
Meat probe	Fleischthermometer
Cord length	Kabellänge
Video files	Video-Dateien
FRZ Mercury amount	GEF Quecksilbergehalt
Synthetics 60	Synthetik 60
Delay function, Programme start	Verzögerungsfunktion, Programmstart
Supported USB file system	Unterstütztes USB-Dateisystem
FRZ Light position	GEF Leuchtmittelposition
Synthetics 40	Synthetik 40
Remaining time visability	Restzeitanzeige
FRZ Lamp specification	GEF Angaben zum Leuchtmittel
Synthetics 30	Synthetik 30
SMART apps and services	SMART-TV-Apps und -Services
FRZ Fast Freezing function	GEF Schockgefrierfunktion
Beam on floor	Lichtstrahl auf dem Boden
Minimum temperature that can be set	Niedrigste einstellbare Temperatur
Network connection	Netzwerkverbindung
FRZ Door alarm	GEF Ein Signal ertönt, wenn die Tür nicht fest geschlossen ist.
End cycle buzzer	Signal zeigt das Ende des Reinigungszyklus an.
Extraction rate (low)	Abzugsleistung (niedrig)
Maximum temperature that can be set	Höchste einstellbare Temperatur
Synthetics 40 easy iron	Synthetik 40 Leichtbügeln
Wireless network (Wi-Fi)	Drahtloses Netzwerk (Wi-Fi)
FRZ Temperature alarm (acoustic)	GEF Temperatur-Warnsignal (akustisch)
Forced air and bottom heating (Bread / Pizza)	Heißluft und Unterhitze (Brot/Pizza)
Extraction rate (high)	Abzugsleistung (hoch)
Capacity	Nennkapazität
Delicate 40	Feinwäsche 40
DLNA compatible	DLNA-kompatibel
Grill (Medium gril)	Grill (mittlerer Grill)
Noise level (low)	Geräuschemission (niedrig)
Maximum size plate Upper basket	Maximale Tellergröße im oberen Korb
REF Number of dividable glass shelves	KÜH Anzahl der versetzbaren Glaseinlegeböden
Delicate 30	Feinwäsche 30
USB recording and Time shift	USB-Aufnahme und Time Shift
Grill + fan (Top +fan)	Grill + Gebläse (Oberhitze + Gebläse)
Noise level (high)	Geräuschemission (hoch)
Maximum size plate Lower basket	Maximale Tellergröße im unteren Korb
REF Shelf material	KÜH Material der Böden
Delicate cold	Kaltwäsche
VESA compatible	VESA-kompatibel
Recirculation mode	Umluftbetrieb
Electrical installation to be done by qualified installer	Elektroinstallationen müssen von einem fachkundigen Installateur vorgenommen werden.
Grill + fan (Total grill+fan)	Grill + Gebläse (Grill + Gebläse, gesamt)
Height-adjustable upper basket	Höhenverstellbarer oberer Korb
REF Bottle rack/shelf in refrigerator shelf	KÜH Flaschenregal/Boden im Kühlschrankregal
Wool/Handwash 30	Wolle/Handwäsche 30
Exhaust mode	Abluftbetrieb
Dual Grill (Total grill)	Doppelgrillzone (Grill, gesamt)
Noise level	Geräuschemissionen
Foldable cup / glass racks upper basket	Klappbare Glasständer im oberen Korb
REF Number of vegetable drawers/crispers	KÜH Anzahl der Gemüsefächer
Wool/Handwash cold	Wolle/Handwäsche kalt
Integrated speakers	Integrierte Lautsprecher
Wall mounted	Wandmontage
Foldable plate racks upper basket	Klappbare Tellerständer im unteren Korb
Usable volume [MAIN]	Nutzbares Volumen [HAUPTGERÄT]
REF Flexible dividers in vegetable drawer/crisper	KÜH Flexible Abtrennungen im Gemüsefach
Rinse	Spülen
REF Special Temperature Zone	KÜH Besondere Temperaturzone
Ceiling mounted	Deckenmontage
Foldable plate racks lower basket	Klappbare Tellerständer im unteren Korb
Usable volume [SECONDARY]	Nutzbares Volumen [ZWEITGERÄT]
Drain	Abfluss
Cabinet mounted	Schrankmontage
Top + Bottom + Fan (Pastry function)	Oberhitze + Unterhitze + Gebläse (Gebäckfunktion)
Foldable wineglass rack	Klappbarer Weinglasständer
REF Wire or glass shelves in freezer compartment	KÜH Gitterrost oder Glasböden im Gefrierteil
Spin	Schleudern
Remaining time indicated	Restdauer wird angezeigt
Special waste handling may be required.	Spezielle Entsorgung kann erforderlich sein.
Please contact your local authorities for more information.	Bitte bei den örtlichen Behörden informieren.
Made entirely of renewable materials.	Ausschließlich aus erneuerbaren Rohstoffen hergestellt.
No optical brightener has been used.	Ohne Verwendung von optischen Aufhellern.
80% recycled paper.	80% Recyclingpapier.
PEVA; a chlorine-free plastic material, alternative to PVC.	PEVA; chlorfreier Kunststoff, eine Alternative für PVC.
90% recycled paper.	90% recyceltes Papier.
Recycled paper.	Recyclingpapier.
Fabric construction using 15% less cotton compared to conventional cotton products while keeping the same quality.	Hergestellt in einer Webart, die verglichen mit herkömmlichen Baumwollprodukten bei gleicher Qualität 15% weniger Rohstoff verbraucht.
Lightly scented.	Zart parfümiert.
Does not contain bleach, phosphates or zeolites.	Enthält keine Bleichmittel, Phosphate oder Zeolithe.
Certified by EU Ecolabel.	Ausgezeichnet mit dem europäischen Umweltzeichen „EU-Blume“.
